 Stix 2.1 Property   ,           Schema Name            , Required  Optional ,      Schema Object  Type, Schema Parent 
 type                ,            stix-type             ,      Required      ,  stix-attribute-string   ,   attribute   
 id                  ,             stix-id              ,      Required      ,  stix-attribute-string   ,   attribute   
 spec_version        ,           spec-version           ,      Required      ,  stix-attribute-string   ,   attribute   
 created             ,             created              ,      Required      , stix-attribute-timestamp ,   attribute   
 modified            ,             modified             ,      Required      , stix-attribute-timestamp ,   attribute   
 name                ,               name               ,      Required      ,  stix-attribute-string   ,   attribute   
 description         ,           description            ,      Optional      ,  stix-attribute-string   ,   attribute   
 aliases             ,            stix-role             ,      Optional      ,  stix-attribute-string   ,   attribute   
 kill_chain_phases   , kill-chain-usage:kill-chain-used ,      Optional      ,   embedded    ,relation
 created_by_ref      ,        created-by:created        ,      Optional      ,   embedded    ,relation
x_mitre_version,x-mitre-version,Required,  stix-attribute-string   ,   attribute   
x_mitre_contributors,x-mitre-contributors,Required,  stix-attribute-string   ,   attribute   
x_mitre_modified_by_ref,x-mitre-modified-by-ref:modified,Required,   embedded    ,relation
x_mitre_domains,x-mitre-domains,Required,  stix-attribute-string   ,   attribute   
x_mitre_attack_spec_version,x-mitre-attack-spec-version,Required,  stix-attribute-string   ,   attribute   
x_mitre_detection,x-mitre-detection,Required,  stix-attribute-string   ,   attribute   
x_mitre_platforms,x-mitre-platforms,Required,  stix-attribute-string   ,   attribute   
x_mitre_data_sources,x-mitre-data-sources,Required,  stix-attribute-string   ,   attribute   
x_mitre_is_subtechnique,x-mitre-is-subtechnique,Required,  stix-attribute-boolean  ,   attribute   
x_mitre_system_requirements,x-mitre-system-requirements,Required,  stix-attribute-string   ,   attribute   
x_mitre_tactic_type,x-mitre-system-requirements,Required,  stix-attribute-string   ,   attribute   
x_mitre_permissions_required,x-mitre-permissions-required,Required,  stix-attribute-string   ,   attribute   
x_mitre_network_requirements,x-mitre-network-requirements,Optional,  stix-attribute-string   ,   attribute   
x_mitre_effective_permissions,x-mitre-effective-permissions,Required,  stix-attribute-string   ,   attribute   
x_mitre_defense_bypassed,x-mitre-defense-bypassed,Required,  stix-attribute-string   ,   attribute   
x_mitre_remote_support,x-mitre-remote-support,Required,  stix-attribute-boolean  ,   attribute   
x_mitre_impact_type,x-mitre-impact-type,Required,  stix-attribute-string   ,   attribute   
x_mitre_deprecated,x-mitre-deprecated,Optonal,  stix-attribute-boolean  ,   attribute   
 revoked             ,             revoked              ,      Optional      ,  stix-attribute-boolean  ,   attribute   
 labels              ,              labels              ,      Optional      ,  stix-attribute-string   ,   attribute   
 confidence          ,            confidence            ,      Optional      ,  stix-attribute-integer  ,   attribute   
 lang                ,               lang               ,      Optional      ,  stix-attribute-string   ,   attribute   
 external_references , external-references:referencing  ,      Optional      ,   embedded    ,relation
 object_marking_refs ,      object-marking:marked       ,      Optional      ,   embedded    ,relation
 granular_markings   ,     granular-marking:marked      ,      Optional      ,   embedded    ,relation
 extensions          ,               n/a                ,        n/a         ,           n/a            ,      n/a      
