 Stix 2.1 Property   ,           Schema Name            , Required  Optional ,      Schema Object  Type, Schema Parent 
 type                ,            stix-type             ,      Required      ,  stix-attribute-string   ,   attribute   
 id                  ,             stix-id              ,      Required      ,  stix-attribute-string   ,   attribute   
 spec_version        ,           spec-version           ,      Required      ,  stix-attribute-string   ,   attribute   
 created             ,             created              ,      Required      , stix-attribute-timestamp ,   attribute   
 modified            ,             modified             ,      Required      , stix-attribute-timestamp ,   attribute   
               name               ,               name               ,      Required      ,  stix-attribute-string   ,   attribute   
task_types,task-types,      Optional      ,  stix-attribute-string   ,   attribute   
 description         ,           description            ,      Optional      ,  stix-attribute-string   ,   attribute   
changed_objects,objects-changed:change-driver,      Optional      ,embedded,relation
end_time,end-time,      Optional      , stix-attribute-timestamp ,   attribute   
end_time_fidelity,end-time-fidelity,      Optional      ,  stix-attribute-string   ,   attribute   
error,error,      Optional      ,  stix-attribute-string   ,   attribute   
impacted_entity_counts,impact-counter:impact-driver,      Optional      ,embedded,relation
priority,int-priority,      Optional      ,  stix-attribute-integer   ,   attribute   
owner,owned-by:owned,Required,embedded,relation
start_time,start-time,      Optional      , stix-attribute-timestamp ,   attribute   
start_time_fidelity,start-time-fidelity,      Optional      ,  stix-attribute-string   ,   attribute   
 kill_chain_phases   , kill-chain-usage:kill-chain-used ,      Optional      ,   embedded    ,relation
 created_by_ref      ,        created-by:created        ,      Optional      ,   embedded    ,relation
 revoked             ,             revoked              ,      Optional      ,  stix-attribute-boolean  ,   attribute   
 labels              ,              labels              ,      Optional      ,  stix-attribute-string   ,   attribute   
 confidence          ,            confidence            ,      Optional      ,  stix-attribute-integer  ,   attribute   
 lang                ,               lang               ,      Optional      ,  stix-attribute-string   ,   attribute   
 external_references , external-references:referencing  ,      Optional      ,   embedded    ,relation
 object_marking_refs ,      object-marking:marked       ,      Optional      ,   embedded    ,relation
 granular_markings   ,     granular-marking:marked      ,      Optional      ,   embedded    ,relation
 extensions          ,               n/a                ,        n/a         ,           n/a            ,      n/a      
