 Stix 2.1 Property   ,           Schema Name            , Required  Optional ,      Schema Object Type, Schema Parent 
 type                ,            stix-type             ,      Required      ,  stix-attribute-string   ,   attribute   
 id                  ,             stix-id              ,      Required      ,  stix-attribute-string   ,   attribute   
 spec_version        ,           spec-version           ,      Optional      ,  stix-attribute-string   ,   attribute   
 object_marking_refs ,      object-marking:marked       ,      Optional      ,   embedded    ,relation
 granular_markings   ,     granular-marking:marked      ,      Optional      ,   embedded    ,relation
defanged,defanged,      Optional      ,stix-attribute-boolean,   attribute   
 extensions          ,               n/a                ,        n/a         ,           n/a            ,      n/a      
start ,"start,",      Optional      ,  stix-attribute-timestamp   ,   attribute   
end ,"end,",      Optional      ,  stix-attribute-timestamp   ,   attribute   
is_active ,"is-active,",      Optional      ,  stix-attribute-boolean   ,   attribute   
src_ref ,"traffic-src:traffic,",      Optional      ,   embedded    ,relation
dst_ref ,"traffic-dst:traffic,",      Optional      ,   embedded    ,relation
src_port ,"src-port,",      Optional      ,  stix-attribute-integer   ,   attribute   
dst_port ,"dst-port,",      Optional      ,  stix-attribute-integer   ,   attribute   
protocols ,"protocols,",      Optional      ,  stix-attribute-string   ,   attribute   
src_byte_count ,"src-byte-count,",      Optional      ,  stix-attribute-integer   ,   attribute   
dst_byte_count ,"dst-byte-count,",      Optional      ,  stix-attribute-integer   ,   attribute   
src_packets ,"src-packets,",      Optional      ,  stix-attribute-integer   ,   attribute   
dst_packets ,"dst-packets,",      Optional      ,  stix-attribute-integer   ,   attribute   
ipfix ,IPFIX-store:traffic,      Optional      ,   embedded    ,relation
src_payload_ref ,"payload-src:traffic,",      Optional      ,   embedded    ,relation
dst_payload_ref ,"payload-dst:traffic,",      Optional      ,   embedded    ,relation
encapsulates_refs ,encapsulate:container,      Optional      ,   embedded    ,relation
encapsulated_by_ref ,encapsulated:contained,      Optional      ,   embedded    ,relation
