 Stix 2.1 Property   ,           Schema Name            , Required  Optional ,      Schema Object Type, Schema Parent 
 type                ,            stix-type             ,      Required      ,  stix-attribute-string   ,   attribute   
 id                  ,             stix-id              ,      Required      ,  stix-attribute-string   ,   attribute   
 spec_version        ,           spec-version           ,      Optional      ,  stix-attribute-string   ,   attribute   
 object_marking_refs ,      object-marking:marked       ,      Optional      ,   embedded    ,relation
 granular_markings   ,     granular-marking:marked      ,      Optional      ,   embedded    ,relation
defanged,defanged,      Optional      ,stix-attribute-boolean,   attribute   
 extensions          ,               n/a                ,        n/a         ,           n/a            ,      n/a      
name,name,      Optional      ,  stix-attribute-string   ,   attribute   
 cpe,cpe,      Optional      ,  stix-attribute-string   ,   attribute   
 swid,swid,      Optional      ,  stix-attribute-string   ,   attribute   
 languages,language,      Optional      ,  stix-attribute-string   ,   attribute   
 vendor,vendor,      Optional      ,  stix-attribute-string   ,   attribute   
 version,version;,      Optional      ,  stix-attribute-string   ,   attribute   
