 Stix 2.1 Property   ,           Schema Name            , Required  Optional ,      Schema Object Type, Schema Parent 
 type                ,            stix-type             ,      Required      ,  stix-attribute-string   ,   attribute   
 id                  ,             stix-id              ,      Required      ,  stix-attribute-string   ,   attribute   
 spec_version        ,           spec-version           ,      Optional      ,  stix-attribute-string   ,   attribute   
 object_marking_refs ,      object-marking:marked       ,      Optional      ,   embedded    ,relation
 granular_markings   ,     granular-marking:marked      ,      Optional      ,   embedded    ,relation
defanged,defanged,      Optional      ,stix-attribute-boolean,   attribute   
 extensions          ,               n/a                ,        n/a         ,           n/a            ,      n/a      
user_id,user-id,      Optional      ,  stix-attribute-string   ,   attribute   
 credential,credential,      Optional      ,  stix-attribute-string   ,   attribute   
 account_login,account-login,      Optional      ,  stix-attribute-string   ,   attribute   
 account_type,account-type,      Optional      ,  stix-attribute-string   ,   attribute   
 display_name,display-name,      Optional      ,  stix-attribute-string   ,   attribute   
 is_service_account,is-service-account,      Optional      ,  stix-attribute-boolean   ,   attribute   
 is_privileged,is-privileged,      Optional      ,  stix-attribute-boolean   ,   attribute   
 can_escalate_privs,can-escalate-privs,      Optional      ,  stix-attribute-boolean   ,   attribute   
 is_disabled,is-disabled,      Optional      ,  stix-attribute-boolean   ,   attribute   
 account_created,account-created,      Optional      ,  stix-attribute-timestamp   ,   attribute   
 account_expires,account-expires,      Optional      ,  stix-attribute-timestamp   ,   attribute   
 credential_last_changed,credential-last-changed,      Optional      ,  stix-attribute-timestamp   ,   attribute   
 account_first_login,account-first-login,      Optional      ,  stix-attribute-timestamp   ,   attribute   
 account_last_login,account-last-login,      Optional      ,  stix-attribute-timestamp   ,   attribute   
