created,type,name,description,relationship_type,determination,investigation_status,detection_methods,impact_category,status,goal,outcome
2022-09-15T01:37:47.004Z,marking-definition,,,,,,,,,,
2022-09-15T01:37:47.004Z,marking-definition,,,,,,,,,,
2022-09-16T01:38:27.921Z,threat-actor,Hydra,A fake intrusion set that frequently loses and replaces heads,,,,,,,,
2022-09-15T01:37:47.004Z,identity,Wakandan Expo,,,,,,,,,
2022-09-15T01:37:47.004Z,relationship,,,impacts,,,,,,,
2022-09-15T01:37:47.004Z,identity,Proj Manager,Incident response manager for the Wakandan Expo,,,,,,,,
2022-09-15T13:22:53.231Z,identity,Shuri IT,Security Response vendor,,,,,,,,
2022-09-15T01:37:47.004Z,relationship,,,employed-at,,,,,,,
2022-09-15T01:37:47.004Z,relationship,,,contact-for,,,,,,,
2022-09-15T13:22:53.231Z,relationship,,,contact-for,,,,,,,
2022-09-15T01:37:47.004Z,relationship,,,attributed-to,,,,,,,
2022-09-15T01:37:47.004Z,incident,WKI-20220915-004,The Wakandan International Technology expo suffered a major disruption in a keynote presentation by Stark Enterprises.,,confirmed,open,['system-outage'],,,,
2022-09-15T13:22:53.231Z,impact,,Due to the highly diverse nature of this Expo and official sponsorship from the Wakandan government it may impact foreign relations,,,,,external,,,
2022-09-15T13:22:53.231Z,impact,,Due to the public nature of this incident it may impact public relations,,,,,monetary,,,
2022-09-15T01:37:47.004Z,impact,,"All servers shutdown,wireless tied to these went down,all displays went down.",,,,,availability,,,
2022-09-15T01:37:47.004Z,impact,,"After bypass mode all servers still shutdown, but wireless and displays are now up in a limited capacity.",,,,,availability,,,
2022-09-15T13:22:53.231Z,impact,,Started to bring back up domain controllers and began to add wireless systems back into a managed mode.,,,,,availability,,,
2022-09-16T01:12:18.951Z,event,Delivery,"Multiple emails were found with malicious Word documents attached, but it is unclear exactly which one(s) were executed to cause the incident.",,,,,,occurred,Initial delivery,
2022-09-16T01:12:18.951Z,sighting,,,,,,,,,,
2022-09-16T01:12:18.951Z,event,Exploitation via Word Macro,Analysis found that when opened Word spawns a number of processes to laterally move through the network,,,,,,occurred,Initial delivery,
2022-09-16T01:12:18.951Z,attack-pattern,Exploitation of Word Macro,If a user is convinced to enable macros on a Word document it can allow malicious code to be run or installed.,,,,,,,,
2022-09-16T01:12:18.951Z,sighting,,,,,,,,,,
2022-09-15T13:22:53.231Z,malware,ExpoOfficeSwitch,,,,,,,,,
2022-09-16T01:12:18.951Z,sighting,,,,,,,,,,
2022-09-16T01:12:18.951Z,event,Lateral Movement,Analysis found that when opened Word spawns a number of processes to laterally move through the network,,,,,,occurred,Lateral Movement and Entrenchment,
2022-09-16T01:12:18.951Z,event,Credential Theft,Tooling ran to extract credentials from LSASS and web browsers ,,,,,,occurred,Lateral Movement and Entrenchment,
2022-09-16T01:12:18.951Z,sighting,,,,,,,,,,
2022-09-16T01:12:18.951Z,sighting,,,,,,,,,,
2022-09-16T01:12:18.951Z,event,Human Control,There was evidence of human control of the lateral movement of this worm as logs indicated it was most active during the normal operating hours of Hydra.,,,,,,occurred,Lateral Movement and Entrenchment,
2022-09-16T01:12:18.951Z,event,Obfuscation,Logs are cleared after prior commands have been run.,,,,,,occurred,Hide activity,
2022-09-16T01:12:18.951Z,sighting,,,,,,,,,,
2022-09-16T01:12:18.951Z,sighting,,,,,,,,,,
2022-09-16T01:12:18.951Z,sighting,,,,,,,,,,
2022-09-16T01:12:18.951Z,sighting,,,,,,,,,,
2022-09-16T01:12:18.951Z,sighting,,,,,,,,,,
2022-09-16T01:12:18.951Z,sighting,,,,,,,,,,
2022-09-16T01:12:18.951Z,sighting,,,,,,,,,,
2022-09-15T01:37:47.004Z,event,Server Shutdown,All servers including domain controllers were shutdown prior to a keynote by a Stark Industry's representative.,,,,,,occurred,,
2022-09-16T01:12:18.951Z,event,Stop Services,,,,,,,occurred,,
2022-09-16T01:12:18.951Z,sighting,,,,,,,,,,
2022-09-16T01:12:18.951Z,event,Data Destruction,,,,,,,occurred,,
